bromeliad_id,Class,Order,Family,Subfamily,Genus,Species,n,stage
B103,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B103,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B103,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B103,Ostracoda,Podocopa,NA,NA,NA,sp1,4,unknown
B96,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B96,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,5,larva
B96,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,11,larva
B96,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B96,Ostracoda,Podocopa,NA,NA,NA,sp1,32,unknown
B96,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B100,Clitellata,Oligochaeta,NA,NA,NA,sp1,5,unknown
B100,Copepoda,Cladocera,NA,NA,NA,sp1,3,unknown
B100,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B100,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B100,Hexapoda,Diptera,NA,NA,NA,sp1,1,larva
B100,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B100,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B100,Ostracoda,Podocopa,NA,NA,NA,sp1,29,unknown
B100,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B100,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B98,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,15,larva
B98,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B98,Copepoda,Cladocera,NA,NA,NA,sp1,2,unknown
B98,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,3,larva
B98,Ostracoda,Podocopa,NA,NA,NA,sp1,22,unknown
B98,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B95,Ostracoda,Podocopa,NA,NA,NA,sp1,56,unknown
B95,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,16,larva
B95,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B95,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B97,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,12,larva
B97,Ostracoda,Podocopa,NA,NA,NA,sp1,17,unknown
B97,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B97,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B97,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B97,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,2,larva
B99,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,9,larva
B99,Ostracoda,Podocopa,NA,NA,NA,sp1,51,unknown
B99,Clitellata,Oligochaeta,NA,NA,NA,sp1,2,unknown
B99,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B99,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,3,larva
B99,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B99,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B94,Clitellata,Oligochaeta,NA,NA,NA,sp1,15,unknown
B94,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,9,larva
B94,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,9,larva
B94,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,13,larva
B94,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B94,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B94,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,5,larva
B94,Ostracoda,Podocopa,NA,NA,NA,sp1,39,unknown
B94,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B94,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B94,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,larva
B94,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,1,larva
B106,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B106,Hexapoda,Odonata,NA,NA,NA,sp1,2,larva
B106,Clitellata,Oligochaeta,NA,NA,NA,sp1,36,unknown
B106,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,23,larva
B106,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,13,larva
B106,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,9,larva
B106,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,8,larva
B106,Ostracoda,Podocopa,NA,NA,NA,sp1,16,unknown
B106,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,pupa
B106,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B106,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B107,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B107,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,2,larva
B107,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,3,larva
B107,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B107,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,6,larva
B107,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B107,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,6,larva
B107,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B107,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B107,Ostracoda,Podocopa,NA,NA,NA,sp1,5,unknown
B107,Hexapoda,Diptera,NA,NA,NA,sp1,2,pupa
B117,Ostracoda,Podocopa,NA,NA,NA,sp1,261,unknown
B117,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,7,larva
B117,Clitellata,Oligochaeta,NA,NA,NA,sp1,25,unknown
B117,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B117,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,3,larva
B117,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,5,unknown
B117,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,3,larva
B117,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B117,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,6,larva
B116,Ostracoda,Podocopa,NA,NA,NA,sp1,274,unknown
B116,Clitellata,Oligochaeta,NA,NA,NA,sp1,45,unknown
B116,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,15,larva
B116,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,1,larva
B116,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B116,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B116,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B116,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,5,larva
B116,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B116,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B116,Turbellaria,Tricladida,NA,NA,NA,sp1,1,unknown
B111,Ostracoda,Podocopa,NA,NA,NA,sp1,22,unknown
B111,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,43,larva
B111,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,8,larva
B111,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B111,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B111,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B113,Ostracoda,Podocopa,NA,NA,NA,sp1,62,unknown
B113,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B113,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,16,larva
B113,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B113,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,8,larva
B113,Hexapoda,Diptera,NA,NA,NA,sp1,9,larva
B113,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
B113,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B113,Hexapoda,Diptera,NA,NA,NA,sp1,3,pupa
B113,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B112,Ostracoda,Podocopa,NA,NA,NA,sp1,614,unknown
B112,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,67,larva
B112,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,30,larva
B112,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B112,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,3,larva
B112,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B112,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B112,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B112,Copepoda,Cladocera,NA,NA,NA,sp1,1,unknown
B108,Copepoda,Cladocera,NA,NA,NA,sp1,5,unknown
B108,Ostracoda,Podocopa,NA,NA,NA,sp1,16,unknown
B108,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,10,larva
B108,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B108,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,22,larva
B108,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B108,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B108,Hexapoda,Diptera,Culicidae,Culicinae,Toxorynchites,sp1,1,larva
B108,Clitellata,Crassiclitellata,NA,NA,NA,sp1,1,unknown
B115,Ostracoda,Podocopa,NA,NA,NA,sp1,5,unknown
B115,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B115,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,17,larva
B115,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,9,larva
B115,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,5,larva
B115,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
B115,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,10,larva
B115,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B115,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B115,Copepoda,Cladocera,NA,NA,NA,sp1,2,unknown
B110,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B110,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,12,unknown
B110,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,19,larva
B110,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,20,larva
B110,Ostracoda,Podocopa,NA,NA,NA,sp1,26,unknown
B110,Hexapoda,Diptera,Culicidae,Culicinae,Toxorynchites,sp1,2,larva
B110,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B110,Copepoda,Cladocera,NA,NA,NA,sp1,1,unknown
B110,Hexapoda,Diptera,Corethrellidae,NA,NA,sp1,1,larva
B110,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B110,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,1,larva
B109,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B109,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,4,larva
B109,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
B109,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,5,larva
B109,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,15,larva
B109,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B109,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B109,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,2,larva
B109,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
B109,Hexapoda,Diptera,Corethrellidae,NA,NA,sp1,1,larva
B109,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B109,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B109,Copepoda,Cladocera,NA,NA,NA,sp1,1,unknown
B109,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B114,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,4,larva
B114,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B114,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,7,larva
B114,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B114,Ostracoda,Podocopa,NA,NA,NA,sp1,106,unknown
B114,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,5,larva
B114,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,9,larva
B114,Hexapoda,Odonata,NA,NA,NA,sp1,2,larva
B114,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
